E_q,N_q,U_q
20798,17727,3
20696,17607,-2
20593,17487,5
20490,17366,0
20387,17245,-7
20283,17123,8
20178,17001,5
20073,16879,5
19968,16756,-5
19862,16632,-2
19755,16509,0
19649,16384,-4
19542,16260,3
19434,16135,2
19326,16010,-4
19217,15884,0
19108,15757,-1
18999,15631,1
18889,15504,-1
18779,15376,-1
18668,15249,0
18557,15120,-1
18446,14992,-2
18334,14863,8
18221,14734,4
18109,14604,10
17995,14474,2
17882,14344,2
17768,14213,-5
17654,14082,-3
17539,13950,6
17424,13818,-2
17308,13686,1
17192,13554,2
17076,13421,0
16959,13288,3
16842,13154,1
16724,13020,-1
16606,12886,5
16488,12751,8
16370,12616,2
16250,12481,-5
16131,12346,-1
16011,12210,1
15891,12074,5
15771,11937,5
15650,11801,-1
15529,11664,2
15407,11526,2
15285,11389,3
15163,11251,3
15041,11113,13
14918,10974,-2
14794,10835,2
14671,10696,-3
14547,10557,-2
14423,10418,3
14298,10278,3
14173,10138,2
14048,9997,2
13922,9857,4
13797,9716,-2
13670,9575,7
13544,9433,-5
13417,9292,-1
13290,9150,-2
13163,9008,9
13035,8866,4
12907,8723,5
12779,8580,-2
12650,8438,-1
12521,8294,6
12392,8151,7
12263,8008,2
12133,7864,-3
12003,7720,6
11873,7575,1
11742,7431,4
11611,7287,1
11480,7142,1
11349,6997,9
11218,6852,5
11086,6707,-7
10954,6561,8
10821,6416,-3
10689,6270,2
10556,6124,0
10423,5978,0
10289,5831,2
10156,5685,2
10022,5538,8
9888,5392,7
9754,5245,-1
9620,5098,-3
9485,4951,-1
9350,4804,7
9215,4656,6
9080,4509,3
8944,4361,4
8808,4214,1
8673,4066,-3
8536,3918,7
8400,3770,9
8264,3622,1
8127,3474,9
7990,3325,7
7853,3177,-10
7716,3029,1
7578,2880,6
7441,2731,3
7303,2583,7
7165,2434,1
7027,2285,5
6889,2136,-3
6750,1987,6
6612,1838,2
6473,1689,1
6334,1540,0
6195,1391,5
6056,1242,11
5917,1093,2
5777,943,6
5638,794,-5
5498,645,-5
5358,496,4
5218,346,2
5078,197,2
4938,48,3
4798,-102,-5
4657,-251,4
4517,-400,0
4376,-550,0
4236,-699,5
4095,-848,11
3954,-998,-2
3813,-1147,3
3672,-1296,0
3530,-1445,5
3389,-1595,2
3248,-1744,2
3106,-1893,-4
2965,-2042,4
2823,-2191,4
2682,-2340,5
2540,-2489,3
2398,-2638,7
2257,-2786,4
2115,-2935,10
1973,-3084,3
1831,-3232,3
1689,-3381,5
1547,-3529,-1
1405,-3678,-5
1263,-3826,-1
1120,-3974,4
978,-4122,1
836,-4270,1
694,-4418,4
551,-4566,4
409,-4713,5
267,-4861,3
125,-5008,8
-18,-5156,3
-160,-5303,4
-302,-5450,4
-445,-5597,1
-587,-5744,1
-729,-5890,4
-871,-6037,6
-1014,-6183,2
-1156,-6329,8
-1298,-6475,4
-1440,-6621,-10
-1582,-6767,1
-1724,-6912,3
-1867,-7058,0
-2009,-7203,4
-2151,-7348,7
-2293,-7493,-1
-2434,-7637,7
-2576,-7782,-7
-2718,-7926,-1
-2860,-8070,-5
-3002,-8214,6
-3143,-8358,1
-3285,-8501,1
-3426,-8645,0
-3568,-8788,2
-3709,-8931,-4
-3850,-9073,8
-3991,-9216,0
-4132,-9358,2
-4273,-9500,6
-4414,-9641,7
-4555,-9783,4
-4696,-9924,9
-4836,-10065,1
-4977,-10206,3
-5117,-10346,3
-5258,-10487,4
-5398,-10627,3
-5538,-10766,4
-5678,-10906,1
-5818,-11045,8
-5957,-11184,1
-6097,-11323,5
-6236,-11461,4
-6375,-11599,6
-6515,-11737,3
-6654,-11874,3
-6792,-12011,2
-6931,-12148,4
-7070,-12285,-1
-7208,-12421,-2
-7346,-12557,3
-7484,-12693,2
-7622,-12828,4
-7760,-12963,7
-7897,-13098,8
-8035,-13233,6
-8172,-13367,2
-8309,-13500,6
-8446,-13634,8
-8583,-13767,-1
-8719,-13900,-2
-8855,-14032,0
-8992,-14164,1
-9127,-14296,0
-9263,-14427,-2
-9399,-14558,1
-9534,-14689,-1
-9669,-14819,8
-9804,-14949,-1
-9938,-15078,1
-10073,-15207,-7
-10207,-15336,6
-10341,-15465,-4
-10475,-15593,-6
-10608,-15720,1
-10741,-15848,-1
-10874,-15974,2
-11007,-16101,5
-11140,-16227,-3
-11272,-16353,1
-11404,-16478,4
-11536,-16603,-3
-11667,-16727,6
-11799,-16851,4
-11930,-16975,9
-12060,-17098,4
-12191,-17221,1
-12321,-17343,1
-12451,-17465,1
-12581,-17586,2
-12710,-17707,2
-12839,-17828,4
-12968,-17948,-7
-13097,-18068,4
-13225,-18187,1
-13353,-18306,-4
-13480,-18424,3
-13608,-18542,0
-13735,-18659,0
-13862,-18776,-1
-13988,-18893,0
-14114,-19009,7
-14240,-19125,-1
-14365,-19240,-1
-14491,-19354,-2
-14615,-19468,0
-14740,-19582,6
-14864,-19695,7
-14988,-19808,-1
-15111,-19920,3
-15235,-20032,1
-15358,-20143,3
-15480,-20254,7
-15602,-20364,3
-15724,-20473,1
-15846,-20583,-2
-15967,-20691,7
-16087,-20799,-8
-16208,-20907,6
-16328,-21014,-1
-16448,-21121,-3
-16567,-21227,7
-16686,-21332,2
-16804,-21437,2
-16923,-21542,1
-17041,-21646,7
-17158,-21749,-1
-17275,-21852,0
-17392,-21954,-1
-17508,-22056,1
-17624,-22157,0
-17740,-22258,2
-17855,-22358,3
-17969,-22458,-3
-18084,-22557,5
-18197,-22655,1
-18311,-22753,-4
-18424,-22850,-4
-18537,-22947,-1
-18649,-23043,4
-18761,-23139,2
-18872,-23234,-11
-18983,-23328,4
-19094,-23422,-12
-19204,-23516,-4
-19314,-23608,-5
-19423,-23701,-5
-19532,-23792,-10
-19641,-23883,1
-19749,-23973,5
-19856,-24063,-3
-19963,-24152,-3
-20070,-24241,-8
-20176,-24329,1
-20282,-24416,-3
-20387,-24503,-2
-20492,-24589,4
-20597,-24675,-1
-20700,-24760,-2
-20804,-24844,0
-20907,-24927,2
-21010,-25010,5
-21112,-25093,0
-21213,-25175,3
-21315,-25256,-1
-21415,-25337,2
-21515,-25417,-1
-21615,-25496,5
-21714,-25575,-4
-21813,-25653,-6
-21911,-25730,-8
-22009,-25807,4
-22106,-25883,-9
-22203,-25958,5
-22300,-26033,-5
-22395,-26107,-4
-22491,-26181,-2
-22586,-26254,1
-22680,-26326,-5
-22774,-26398,3
-22867,-26468,-7
-22960,-26539,2
-23052,-26608,-3
-23144,-26677,1
-23235,-26746,0
-23325,-26813,3
-23416,-26880,-4
-23505,-26946,-3
-23594,-27012,1
-23683,-27077,-8
-23771,-27141,-2
-23859,-27205,-4
-23946,-27268,-5
-24032,-27330,-3
-24118,-27391,-6
-24204,-27452,-5
-24289,-27513,-5
-24373,-27572,4
-24457,-27631,-6
-24540,-27689,-3
-24623,-27746,-4
-24705,-27803,1
-24786,-27859,-2
-24867,-27915,1
-24948,-27969,-5
-25028,-28023,2
-25107,-28077,-3
-25186,-28129,-2
-25264,-28181,-4
-25342,-28232,-3
-25419,-28283,-3
-25495,-28332,-8
-25571,-28382,-8
-25647,-28430,-3
-25722,-28478,-5
-25796,-28525,-3
-25870,-28571,2
-25943,-28616,-6
-26015,-28661,-3
-26087,-28705,1
-26159,-28749,-7
-26229,-28791,2
-26299,-28833,-9
-26369,-28874,-6
-26438,-28915,-8
-26506,-28955,-7
-26574,-28994,-3
-26642,-29032,5
-26708,-29070,1
-26774,-29107,-7
-26840,-29143,-8
-26904,-29179,-2
-26969,-29213,0
-27032,-29247,-6
-27095,-29281,1
-27158,-29313,-6
-27220,-29345,-2
-27281,-29376,-5
-27341,-29407,-5
-27401,-29436,-5
-27461,-29465,0
-27520,-29493,1
-27578,-29521,0
-27635,-29547,-10
-27692,-29573,-2
-27749,-29599,-2
-27804,-29623,3
-27859,-29647,-1
-27914,-29670,-2
-27967,-29692,-1
-28021,-29714,-3
-28073,-29735,-6
-28125,-29755,-7
-28176,-29774,-4
-28227,-29793,-7
-28277,-29811,-2
-28327,-29828,2
-28375,-29844,-10
-28423,-29860,-3
-28471,-29875,-11
-28518,-29889,-1
-28564,-29902,-12
-28610,-29915,-1
-28655,-29927,1
-28699,-29938,-3
-28743,-29948,-5
-28786,-29958,3
-28828,-29967,-6
-28870,-29975,0
-28911,-29982,-4
-28951,-29989,-5
-28991,-29995,-4
-29030,-30000,-5
-29069,-30005,-10
-29107,-30008,-9
-29144,-30011,-12
-29180,-30014,0
-29216,-30015,-7
-29252,-30016,-5
-29286,-30016,-4
-29320,-30015,-4
-29353,-30014,-1
-29386,-30011,0
-29418,-30008,-9
-29449,-30005,-5
-29480,-30000,6
-29510,-29995,3
-29539,-29989,-3
-29568,-29982,-8
-29596,-29975,-9
-29623,-29966,-4
-29650,-29957,-2
-29676,-29948,-5
-29701,-29937,5
-29726,-29926,-1
-29750,-29914,-7
-29774,-29901,-3
-29796,-29888,-2
-29818,-29874,-4
-29840,-29859,-3
-29860,-29843,-4
-29880,-29827,-4
-29900,-29810,1
-29919,-29792,2
-29937,-29773,-3
-29954,-29754,-3
-29971,-29733,-6
-29987,-29713,-6
-30002,-29691,6
-30017,-29669,-8
-30031,-29646,-9
-30044,-29622,0
-30057,-29597,-4
-30069,-29572,-12
-30080,-29546,-3
-30091,-29519,0
-30101,-29492,-7
-30110,-29463,5
-30119,-29434,-3
-30126,-29405,-6
-30134,-29374,-1
-30140,-29343,-5
-30146,-29311,-3
-30152,-29279,-1
-30156,-29245,-2
-30160,-29211,-8
-30163,-29177,-1
-30166,-29141,-6
-30168,-29105,3
-30169,-29068,-6
-30170,-29030,-1
-30169,-28992,2
-30169,-28953,-6
-30167,-28913,-9
-30165,-28872,1
-30162,-28831,-6
-30159,-28789,-3
-30154,-28746,-7
-30150,-28703,-8
-30144,-28659,-2
-30138,-28614,-4
-30131,-28568,-4
-30124,-28522,-4
-30115,-28475,-3
-30106,-28427,6
-30097,-28379,4
-30087,-28330,-2
-30076,-28280,-7
-30064,-28229,-7
-30052,-28178,-8
-30039,-28126,-10
-30025,-28073,-4
-30011,-28020,-11
-29996,-27966,2
-29980,-27912,-3
-29964,-27856,-2
-29947,-27800,-5
-29930,-27743,-1
-29911,-27686,1
-29892,-27628,-2
-29873,-27569,-1
-29852,-27509,2
-29832,-27449,-2
-29810,-27388,-4
-29788,-27326,-9
-29765,-27264,-1
-29741,-27201,-8
-29717,-27138,-6
-29692,-27073,5
-29666,-27008,-6
-29640,-26943,-7
-29613,-26876,-4
-29585,-26809,2
-29557,-26742,-11
-29528,-26674,0
-29498,-26604,-2
-29468,-26535,-7
-29437,-26465,-5
-29406,-26394,0
-29373,-26322,-3
-29341,-26250,1
-29307,-26177,-6
-29273,-26103,-3
-29238,-26029,-6
-29203,-25954,-3
-29167,-25879,1
-29130,-25803,-1
-29092,-25726,-4
-29054,-25648,-4
-29015,-25570,1
-28976,-25492,5
-28936,-25412,-6
-28895,-25332,0
-28854,-25252,-2
-28812,-25170,-1
-28769,-25089,-9
-28726,-25006,0
-28682,-24923,-4
-28637,-24839,-1
-28592,-24755,-8
-28546,-24670,-7
-28500,-24584,-1
-28453,-24498,4
-28405,-24411,-4
-28357,-24324,-2
-28308,-24236,-6
-28258,-24147,3
-28208,-24058,3
-28157,-23968,-2
-28105,-23878,-2
-28053,-23787,-8
-28000,-23696,-5
-27947,-23603,-3
-27893,-23511,-2
-27838,-23417,-3
-27783,-23323,1
-27727,-23229,1
-27670,-23134,1
-27613,-23038,-5
-27555,-22942,0
-27497,-22845,-5
-27438,-22748,-5
-27378,-22650,2
-27318,-22552,-6
-27257,-22452,-8
-27196,-22353,-5
-27134,-22253,-9
-27071,-22152,-3
-27008,-22051,1
-26944,-21949,2
-26880,-21847,3
-26815,-21744,-1
-26749,-21640,-5
-26683,-21536,-11
-26616,-21432,-8
-26548,-21327,5
-26480,-21221,5
-26412,-21115,-1
-26342,-21008,-1
-26273,-20901,-6
-26202,-20794,-4
-26131,-20685,-12
-26060,-20577,-3
-25987,-20468,-5
-25915,-20358,0
-25841,-20248,-6
-25767,-20137,2
-25693,-20026,-5
-25618,-19914,4
-25542,-19802,-5
-25466,-19689,7
-25389,-19576,-8
-25312,-19462,4
-25234,-19348,1
-25156,-19234,2
-25077,-19119,2
-24997,-19003,-2
-24917,-18887,1
-24836,-18770,-12
-24755,-18653,-3
-24673,-18536,-4
-24591,-18418,0
-24508,-18300,-2
-24425,-18181,4
-24341,-18062,4
-24256,-17942,-6
-24171,-17822,-2
-24085,-17701,8
-23999,-17580,1
-23913,-17459,-1
-23825,-17337,0
-23737,-17214,-2
-23649,-17092,1
-23560,-16968,-1
-23471,-16845,4
-23381,-16721,2
-23291,-16596,-1
-23200,-16471,-2
-23109,-16346,1
-23017,-16221,3
-22924,-16094,1
-22831,-15968,0
-22738,-15841,-1
-22644,-15714,-2
-22549,-15586,1
-22454,-15458,6
-22359,-15330,-4
-22263,-15201,-3
-22166,-15072,0
-22069,-14942,-2
-21972,-14812,2
-21874,-14682,-3
-21775,-14551,-5
-21676,-14421,-3
-21577,-14289,4
-21477,-14157,-1
-21377,-14025,2
-21276,-13893,4
-21175,-13760,1
-21073,-13627,2
-20971,-13494,4
-20868,-13360,-9
-20765,-13226,0
-20661,-13091,9
-20557,-12957,2
-20452,-12822,-4
-20347,-12686,-4
-20242,-12550,4
-20136,-12414,-2
-20029,-12278,4
-19922,-12141,0
-19815,-12005,-6
-19707,-11867,-4
-19599,-11730,2
-19491,-11592,-3
-19382,-11454,-3
-19272,-11316,5
-19162,-11177,4
-19052,-11038,3
-18941,-10899,2
-18830,-10759,2
-18718,-10620,4
-18606,-10480,-2
-18494,-10340,-2
-18381,-10199,1
-18268,-10058,7
-18154,-9917,6
-18040,-9776,5
-17926,-9634,1
-17811,-9493,3
-17696,-9351,5
-17580,-9209,-3
-17464,-9066,3
-17347,-8924,-5
-17231,-8781,8
-17113,-8638,2
-16996,-8494,-1
-16878,-8351,2
-16759,-8207,3
-16641,-8063,0
-16522,-7919,1
-16402,-7775,1
-16282,-7630,2
-16162,-7486,3
-16042,-7341,5
-15921,-7196,3
-15800,-7051,2
-15678,-6905,-1
-15556,-6760,3
-15434,-6614,11
-15311,-6468,-3
-15188,-6322,-2
-15065,-6176,-3
-14941,-6030,3
-14817,-5883,0
-14693,-5737,0
-14568,-5590,3
-14443,-5443,6
-14318,-5296,2
-14192,-5149,-1
-14066,-5001,9
-13940,-4854,1
-13814,-4706,7
-13687,-4559,8
-13560,-4411,-5
-13432,-4263,2
-13304,-4115,2
-13176,-3967,5
-13048,-3819,-8
-12919,-3671,7
-12791,-3522,6
-12661,-3374,3
-12532,-3226,-6
-12402,-3077,3
-12272,-2928,6
-12142,-2780,8
-12011,-2631,-2
-11880,-2482,1
-11749,-2333,5
-11618,-2184,5
-11486,-2035,8
-11354,-1886,11
-11222,-1737,0
-11090,-1588,0
-10957,-1438,-5
-10824,-1289,7
-10691,-1140,8
-10558,-991,-1
-10424,-842,6
-10290,-692,-7
-10156,-543,9
-10022,-394,1
-9888,-244,-2
-9753,-95,4
-9618,54,0
-9483,204,3
-9348,353,4
-9212,502,-2
-9076,652,2
-8940,801,5
-8804,950,1
-8668,1099,4
-8531,1249,7
-8395,1398,7
-8258,1547,-6
-8121,1696,3
-7983,1845,2
-7846,1994,9
-7708,2143,10
-7570,2292,-4
-7433,2440,6
-7294,2589,0
-7156,2738,5
-7018,2887,-1
-6879,3035,2
-6740,3184,7
-6601,3332,3
-6462,3480,4
-6323,3628,-2
-6184,3776,9
-6045,3924,3
-5905,4072,0
-5765,4220,2
-5625,4368,-3
-5485,4515,7
-5345,4663,8
-5205,4810,0
-5065,4957,6
-4924,5104,0
-4784,5251,3
-4643,5398,9
-4502,5545,6
-4362,5691,2
-4221,5838,1
-4080,5984,1
-3939,6130,1
-3797,6276,2
-3656,6422,6
-3515,6567,0
-3373,6713,2
-3232,6858,7
-3090,7003,5
-2949,7148,5
-2807,7293,3
-2665,7437,2
-2523,7582,4
-2382,7726,5
-2240,7870,5
-2098,8014,3
-1956,8157,2
-1814,8300,1
-1672,8444,1
-1529,8587,0
-1387,8729,-1
-1245,8872,9
-1103,9014,4
-961,9156,4
-818,9298,10
-676,9439,5
-534,9581,9
-392,9722,5
-249,9863,2
-107,10003,5
35,10143,11
178,10283,-1
320,10423,5
462,10563,-1
604,10702,9
747,10841,2
889,10980,5
1031,11118,9
1173,11256,-1
1315,11394,-3
1457,11532,2
1599,11669,2
1741,11806,6
1883,11943,5
2025,12079,3
2167,12215,2
2309,12351,11
2451,12487,5
2593,12622,9
2734,12757,-4
2876,12891,-1
3017,13025,7
3159,13159,-2
3300,13293,2
3442,13426,4
3583,13559,-3
3724,13691,-7
3865,13824,7
4006,13955,8
4147,14087,0
4288,14218,0
4428,14349,-1
4569,14479,2
4709,14609,4
4850,14739,6
4990,14868,6
5130,14997,2
5270,15125,4
5410,15254,3
5550,15382,2
5689,15509,-4
5829,15636,-3
5968,15762,-2
6107,15889,5
6246,16014,1
6385,16140,0
6524,16265,0
6663,16389,1
6801,16513,1
6940,16637,3
7078,16760,6
7216,16883,-8
7354,17006,1
7491,17128,-2
7629,17250,1
7766,17371,2
7903,17491,10
8040,17612,1
8177,17732,1
8314,17851,6
8450,17970,3
8586,18088,2
8723,18206,-2
8858,18324,2
8994,18441,5
9129,18558,2
9265,18674,0
9400,18790,-4
9534,18905,1
9669,19020,-1
9803,19134,4
9938,19248,2
10071,19361,0
10205,19474,0
10338,19586,-1
10472,19698,1
10605,19810,-2
10737,19921,3
10870,20031,-2
11002,20141,-4
11134,20250,-1
11266,20359,6
11397,20467,-1
11529,20575,-1
11659,20682,7
11790,20789,4
11921,20895,-4
12051,21001,3
12181,21106,5
12310,21211,6
12439,21315,1
12569,21419,0
12697,21522,-10
12826,21624,-4
12954,21726,1
13082,21828,1
13209,21928,6
13337,22029,3
13464,22129,-1
13590,22228,3
13717,22326,-1
13843,22424,-2
13968,22522,-3
14094,22619,7
14219,22715,2
14344,22811,5
14468,22906,-5
14592,23001,-5
14716,23095,-9
14840,23189,7
14963,23282,1
15085,23374,-4
15208,23466,-4
15330,23557,-2
15452,23647,-5
15573,23737,-1
15694,23827,0
15815,23916,-3
15935,24004,4
16055,24091,-1
16175,24178,4
16294,24265,2
16413,24350,-5
16531,24435,4
16650,24520,1
16767,24604,-1
16885,24687,2
17002,24770,0
17118,24852,2
17234,24933,4
17350,25014,0
17466,25094,3
17581,25174,1
17695,25253,-6
17809,25331,0
17923,25408,-1
18037,25485,-4
18150,25562,-10
18263,25637,4
18375,25713,-2
18486,25787,2
18598,25861,-6
18709,25934,-2
18819,26006,-2
18929,26078,4
19039,26149,-1
19148,26220,-2
19257,26290,-5
19365,26359,-1
19473,26427,3
19581,26495,3
19688,26562,-8
19794,26629,-2
19900,26695,5
20006,26760,-1
20111,26824,-1
20216,26888,-4
20320,26951,-8
20424,27014,-3
20528,27075,-2
20631,27137,0
20733,27197,-9
20835,27257,0
20937,27316,5
21038,27374,-4
21138,27432,-2
21238,27489,-6
21338,27545,2
21437,27601,-10
21536,27656,-3
21634,27710,-6
21732,27763,-3
21829,27816,-2
21926,27868,-4
22022,27920,0
22118,27970,0
22213,28021,-2
22307,28070,2
